disciplina,periodo,turma,quantidade,semestre
Educação em Tecnologias Digitais,1º Ano,INF (Mat),2,1
Educação em Tecnologias Digitais,1º Ano,ADM (Mat),2,1
Educação em Tecnologias Digitais,1º Ano,INF (Vesp),2,1
Educação em Tecnologias Digitais,1º Ano,ADM (Vesp),2,1
Introdução à Lógica e Programação,1º Ano,INF (Mat),4,1
Introdução à Lógica e Programação,1º Ano,INF (Mat),4,2
Introdução à Lógica e Programação,1º Ano,INF (Vesp),4,1
Introdução à Lógica e Programação,1º Ano,INF (Vesp),4,2
Princípios de Design,1º Ano,INF (Mat),2,1
Princípios de Design,1º Ano,INF (Mat),2,2
Princípios de Design,1º Ano,INF (Vesp),2,1
Princípios de Design,1º Ano,INF (Vesp),2,2
Autoria Web,1º Ano,INF (Mat),2,1
Autoria Web,1º Ano,INF (Mat),2,2
Autoria Web,1º Ano,INF (Vesp),2,1
Autoria Web,1º Ano,INF (Vesp),2,2
Análise e Projeto Orientada a Objetos,2º Ano,INF (Mat),2,1
Análise e Projeto Orientada a Objetos,2º Ano,INF (Mat),2,2
Banco de Dados,2º Ano,INF (Mat),2,1
Banco de Dados,2º Ano,INF (Mat),2,2
Programação Orientada a Objetos,2º Ano,INF (Mat),4,1
Programação Orientada a Objetos,2º Ano,INF (Mat),4,2
Redes de computadores,2º Ano,INF (Mat),4,1
Design Web,2º Ano,INF (Mat),4,2
Gestão e Empreendedorismo,3º Ano,INF (Vesp),2,1
Programação de Aplicação Web,3º Ano,INF (Vesp),4,1
Programação de Aplicação Web,3º Ano,INF (Vesp),4,2
Instalação e Config. de Servidores,3º Ano,INF (Vesp),2,1
Instalação e Config. de Servidores,3º Ano,INF (Vesp),2,2
Tóp. Específicos em Inf. p/ Internet II,3º Ano,INF (Vesp),2,2
